Organization Name,Preferred Address Line 1,Borough,,Constituency Code,Constituent Specific Attributes R-Secondary Type Description
,,,,,
Synagogue for the Arts,49 White Street,M,R,Retail Space,C-Religious Institutions
Action Center To End World Hunger,6 River Terrace,M,R,Retail Space,A-Museums & Performing Arts
Circle Line Downtown,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing
Circle Line Downtown,"South Street Seaport, Pier 17",M,B,DLMA Former Member,V-Sightseeing
"3 Legged Dog, Inc.",80 Greenwich Street,M,R,Retail Space,A-Theaters & Cinemas
Church of Our Lady of the Rosary,7-8 State Street,M,R,Retail Space,C-Religious Institutions
Irish Hunger Memorial,Battery Park City,M,R,Retail Space,A-Attractions & Landmarks
Trinity Church,74 Trinity Place,M,R,Retail Space,C-Religious Institutions
Our Savior Catholic Church,Washington Ave,X,R,Retail Space,A-Attractions & Landmarks
Museum of American Finance,48 Wall Street,M,R,Retail Space,A-Museums & Performing Arts
Bodies The Exhibition,11 Fulton Street,M,C,Cultural Institution,A-Museums & Performing Arts
Grace Exhibition Space,840 Broadway,K,R,Retail Space,A-Museums & Performing Arts
Ellis Island Tours with Tom Bernardin,68 3RD Street,K,R,Retail Space,V-Sightseeing
The Skyscraper Museum,39 Battery Place,M,R,Retail Space,A-Museums & Performing Arts
Brooklyn Museum,200 Eastern Parkway,K,C,Cultural Institution,A-Museums & Performing Arts
Museum of Jewish Heritage-A Living Memorial to the Holocaust,36 Battery Place,M,R,Retail Space,A-Museums & Performing Arts
Jewish Children's Museum,792 Eastern Pkwy,K,M,Commercial Property Owner,A-Museums & Performing Arts
Intercoastal Adventures,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing
Lower Manhattan Community Church,201 Warren Street,M,R,Retail Space,C-Religious Institutions
Ministry of Culture,315 West Street,M,I,Institutional Building,
NYSE Euronext,11 Wall Street,M,B,DLMA Member,V-Sightseeing
Bronx Museum Of the Arts,1040 Grand Concourse,X,P,Corporation,V-Sightseeing
MOFAD Lab,62 Bayard Street,K,R,Retail Space,V-Sightseeing
City Reliquary Museum,370 Metropolitan Ave.,K,R,Retail Space,A-Attractions & Landmarks
St. Paul's Chapel,209 Broadway,M,R,Retail Space,A-Attractions & Landmarks
World Financial Center Arts & Events Program,3 World Financial Center,M,R,Retail Space,A-Museums & Performing Arts
"Statue of Liberty, Museum Services Division",Liberty Island,L,C,Corporation,A-Attractions & Landmarks
Immigration Museum,Liberty Island,L,R,Retail Space,A-Attractions & Landmarks
World Financial Center,West Street,M,R,Retail Space,A-Attractions & Landmarks
Gray Line Double Decker Bus Tours,49 West 45th Street,M,R,Retail Space,V-Sightseeing
Schimmel Center for the Arts,1 Pace Plaza,M,R,Retail Space,A-Theaters & Cinemas
