Name,Address,Borough,ConstInit,ConstituencyCode,Attributes,Distance
Synagogue for the Arts,49 White Street,M,R,Retail Space,C-Religious Institutions,100
Action Center To End World Hunger,6 River Terrace,M,R,Retail Space,A-Museums & Performing Arts,200
Circle Line Downtown,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing,300
Circle Line Downtown,"South Street Seaport, Pier 17",M,B,DLMA Former Member,V-Sightseeing,400
"3 Legged Dog, Inc.",80 Greenwich Street,M,R,Retail Space,A-Theaters & Cinemas,500
Church of Our Lady of the Rosary,7-8 State Street,M,R,Retail Space,C-Religious Institutions,600
Irish Hunger Memorial,Battery Park City,M,R,Retail Space,A-Attractions & Landmarks,700
Trinity Church,74 Trinity Place,M,R,Retail Space,C-Religious Institutions,800
Our Savior Catholic Church,Washington Ave,X,R,Retail Space,A-Attractions & Landmarks,900
Museum of American Finance,48 Wall Street,M,R,Retail Space,A-Museums & Performing Arts,1000
Bodies The Exhibition,11 Fulton Street,M,C,Cultural Institution,A-Museums & Performing Arts,100
Grace Exhibition Space,840 Broadway,K,R,Retail Space,A-Museums & Performing Arts,200
Ellis Island Tours with Tom Bernardin,68 3RD Street,K,R,Retail Space,V-Sightseeing,300
The Skyscraper Museum,39 Battery Place,M,R,Retail Space,A-Museums & Performing Arts,400
Brooklyn Museum,200 Eastern Parkway,K,C,Cultural Institution,A-Museums & Performing Arts,500
Museum of Jewish Heritage-A Living Memorial to the Holocaust,36 Battery Place,M,R,Retail Space,A-Museums & Performing Arts,600
Jewish Children's Museum,792 Eastern Pkwy,K,M,Commercial Property Owner,A-Museums & Performing Arts,700
Intercoastal Adventures,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing,800
Lower Manhattan Community Church,201 Warren Street,M,R,Retail Space,C-Religious Institutions,900
Ministry of Culture,315 West Street,M,I,Institutional Building,C-Religious Institutions,1000
NYSE Euronext,11 Wall Street,M,B,DLMA Member,V-Sightseeing,100
Bronx Museum Of the Arts,1040 Grand Concourse,X,P,Corporation,V-Sightseeing,200
MOFAD Lab,62 Bayard Street,K,R,Retail Space,V-Sightseeing,300
City Reliquary Museum,370 Metropolitan Ave.,K,R,Retail Space,A-Attractions & Landmarks,400
St. Paul's Chapel,209 Broadway,M,R,Retail Space,A-Attractions & Landmarks,500
World Financial Center Arts & Events Program,3 World Financial Center,M,R,Retail Space,A-Museums & Performing Arts,600
"Statue of Liberty, Museum Services Division",Liberty Island,L,C,Corporation,A-Attractions & Landmarks,700
Immigration Museum,Liberty Island,L,R,Retail Space,A-Attractions & Landmarks,800
World Financial Center,West Street,M,R,Retail Space,A-Attractions & Landmarks,900
Gray Line Double Decker Bus Tours,49 West 45th Street,M,R,Retail Space,V-Sightseeing,1000
Schimmel Center for the Arts,1 Pace Plaza,M,R,Retail Space,A-Theaters & Cinemas,100
American Merchant Mariners Memorial,"Water's edge in Battery Park, adjacent to Pier A",M,R,Retail Space,A-Attractions & Landmarks,200
Bronx River Art Center,1087 E Tremont Ave.,X,I,Institutional Building,C-Religious Institutions,300
Messiah's Reformed Fellowship,241 Water Street,M,R,Retail Space,C-Religious Institutions,400
Battery Park Synagogue,385 South End Avenue,M,R,Retail Space,C-Religious Institutions,500
Central Synagogue,652 Lexington Ave.,M,G,Religious Institution,C-Religious Institutions,600
New York Public Library,9 Murray Street,M,R,Retail Space,C-Public Library,700
Shooting Star Theater,40 Peck Slip,M,R,Retail Space,A-Theaters & Cinemas,800
Castle Clinton National Monument,1 Battery Park,M,R,Retail Space,A-Attractions & Landmarks,900
African Burial Ground National Memorial,290 Broadway,M,R,Retail Space,A-Attractions & Landmarks,1000
"""Charging Bull"" at Bowling Green",Broadway at Bowling Green,M,R,Retail Space,A-Attractions & Landmarks,100
Fraunces Tavern Museum,54 Pearl Street,M,R,Retail Space,A-Museums & Performing Arts,200
John Street United Methodist Church,44 John Street,M,R,Retail Space,C-Religious Institutions,300
Park Slope United Methodist,410 6th Ave.,K,G,Religious Institution,C-Religious Institutions,400
Our Lady of Victory Church,60 William Street,M,R,Retail Space,C-Religious Institutions,500
Our Lady of Mount Carmel,275 N 8th St.,K,C,Commercial Property Owner,C-Religious Institutions,600
St. Peter's Roman Catholic Church,22 Barclay Street,M,R,Retail Space,C-Religious Institutions,700
Co-Cathedral of St. Joseph,856 Pacific St.,K,C,Commercial Property Owner,C-Religious Institutions,800
Wall Street Helicopter Tours,Pier 6,M,R,Retail Space,V-Sightseeing,900
National Museum of the American Indian,1 Bowling Green,M,R,Retail Space,A-Museums & Performing Arts,1000
Regal Battery Park,102 North End Avenue,M,R,Retail Space,A-Theaters & Cinemas,100
New York City Police Museum,100 Old Slip,M,R,Retail Space,A-Museums & Performing Arts,200
Federal Hall National Memorial,26 Wall Street,M,R,Retail Space,A-Attractions & Landmarks,300
9/11 Memorial Preview Site,20 Vesey Street,M,R,Retail Space,A-Attractions & Landmarks,400
African American Art Gallery,105 Nassau Street,M,R,Retail Space,A-Museums & Performing Arts,500
Tribute WTC,120 Liberty Street,M,R,Retail Space,A-Museums & Performing Arts,600
Center for Castle Garden Immigration,1 Broadway,M,R,Retail Space,A-Museums & Performing Arts,700
Ellis Island National Museum,Ellis Island,E,R,Retail Space,A-Attractions & Landmarks,800
Wall Street Synagogue,47 Beekman Street,M,R,Retail Space,C-Religious Institutions,900
Riverdale Temple,4545 Independence Ave. ,X,C,Commercial Property Owner,C-Religious Institutions,1000
Manhattan By Sail,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing,100
Poets House,10 River Terrace,M,N,Non-Profit,A-Museums & Performing Arts,200
Christian Cultural Center,12020 Flatlands Ave. ,K,B,DLMA Member,A-Museums & Performing Arts,300
Hostos Center for Arts ,450 Grand Concourse,X,R,Retail Space,A-Museums & Performing Arts,400
Universal Hip Hop Museum,555 Bergen,X,R,Retail Space,A-Museums & Performing Arts,500
Cannon's Walk,206 Front Street,M,R,Retail Space,A-Attractions & Landmarks,600
The River Vineyard Christian Fellowship,"250 Greenwich Street, ",M,R,Retail Space,C-Religious Institutions,700
New York Public Library,175 North End Avenue,M,R,Retail Space,C-Public Library,800
Bike & Roll Bike Rentals,"South Street Seaport, Pier 17",M,C,Corporation,V-Sightseeing,900
NY Waterway Tours,Pier A,M,R,Retail Space,V-Sightseeing,1000
